ip,rank,feature,contribution_score,explanation
138.226.244.76,2,growth_rate,0.098,High growth increases reputation risk.
138.226.244.76,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
142.147.96.125,1,limit_usage_ratio,0.5,High limit usage puts pressure on the IP.
142.147.96.125,2,growth_rate,0.098,High growth increases reputation risk.
142.147.96.125,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
138.226.244.77,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
138.226.244.77,2,growth_rate,0.0877,High growth increases reputation risk.
138.226.244.77,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
138.226.244.75,1,limit_usage_ratio,0.667,High limit usage puts pressure on the IP.
138.226.244.75,2,growth_rate,0.2083,High growth increases reputation risk.
138.226.244.75,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
138.226.244.74,1,limit_usage_ratio,0.667,High limit usage puts pressure on the IP.
138.226.244.74,2,growth_rate,0.2083,High growth increases reputation risk.
138.226.244.74,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
142.147.96.123,1,limit_usage_ratio,0.333,High limit usage puts pressure on the IP.
142.147.96.123,2,growth_rate,0.2083,High growth increases reputation risk.
142.147.96.123,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
107.6.171.226,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
107.6.171.226,2,sent_ratio,1.0,Low sent ratio indicates delivery instability.
107.6.171.226,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
107.6.171.229,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
107.6.171.229,2,sent_ratio,1.0,Low sent ratio indicates delivery instability.
107.6.171.229,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
